Year,EventID,GridID,Intensity
1,1,0000,0.466
1,1,0001,0.529
1,1,0002,0.913
1,1,0003,1.054
1,1,0004,0.557
1,1,0005,0.743
1,1,0006,1.087
1,1,0007,0.700
1,1,0008,1.479
1,1,0009,0.550
1,1,0100,0.443
1,1,0101,1.264
1,1,0102,1.026
1,1,0103,1.791
1,1,0104,1.544
1,1,0105,0.781
1,1,0106,1.992
1,1,0107,0.825
1,1,0108,0.751
1,1,0109,1.017
1,1,0200,0.189
1,1,0201,0.606
1,1,0202,1.164
1,1,0203,0.183
1,1,0204,0.409
1,1,0205,0.874
1,1,0206,1.172
1,1,0207,1.198
1,1,0208,1.771
1,1,0209,1.284
1,1,0300,1.679
1,1,0301,0.223
1,1,0302,0.188
1,1,0303,1.789
1,1,0304,0.272
1,1,0305,0.263
1,1,0306,0.079
1,1,0307,1.690
1,1,0308,1.213
1,1,0309,1.771
1,1,0400,0.344
1,1,0401,0.286
1,1,0402,0.388
1,1,0403,0.875
1,1,0404,0.047
1,1,0405,1.007
1,1,0406,1.406
1,1,0407,1.555
1,1,0408,0.267
1,1,0409,1.725
1,1,0500,0.111
1,1,0501,1.831
1,1,0502,0.762
1,1,0503,0.933
1,1,0504,1.014
1,1,0505,1.585
1,1,0506,0.481
1,1,0507,1.717
1,1,0508,0.781
1,1,0509,0.361
1,1,0600,0.429
1,1,0601,0.661
1,1,0602,0.240
1,1,0603,1.691
1,1,0604,1.641
1,1,0605,0.763
1,1,0606,0.605
1,1,0607,0.659
1,1,0608,0.154
1,1,0609,1.245
1,1,0700,1.120
1,1,0701,1.149
1,1,0702,1.627
1,1,0703,1.044
1,1,0704,0.068
1,1,0705,1.197
1,1,0706,0.115
1,1,0707,0.687
1,1,0708,0.158
1,1,0709,1.093
1,1,0800,0.050
1,1,0801,0.951
1,1,0802,0.590
1,1,0803,1.750
1,1,0804,1.646
1,1,0805,1.488
1,1,0806,1.414
1,1,0807,1.790
1,1,0808,1.974
1,1,0809,0.440
1,1,0900,0.926
1,1,0901,0.189
1,1,0902,1.272
1,1,0903,0.392
1,1,0904,0.838
1,1,0905,1.635
1,1,0906,1.897
1,1,0907,1.852
1,1,0908,1.065
1,1,0909,1.814
2,2,0000,1.310
2,2,0001,1.034
2,2,0002,1.074
2,2,0003,1.530
2,2,0004,0.989
2,2,0005,0.796
2,2,0006,1.276
2,2,0007,0.010
2,2,0008,1.525
2,2,0009,0.113
2,2,0100,0.998
2,2,0101,0.451
2,2,0102,1.487
2,2,0103,0.708
2,2,0104,1.195
2,2,0105,1.104
2,2,0106,0.892
2,2,0107,1.741
2,2,0108,1.404
2,2,0109,1.499
2,2,0200,0.659
2,2,0201,0.420
2,2,0202,0.258
2,2,0203,1.612
2,2,0204,0.878
2,2,0205,1.825
2,2,0206,0.594
2,2,0207,1.210
2,2,0208,0.452
2,2,0209,1.540
2,2,0300,1.268
2,2,0301,1.305
2,2,0302,1.358
2,2,0303,0.660
2,2,0304,0.425
2,2,0305,1.634
2,2,0306,1.298
2,2,0307,0.909
2,2,0308,1.131
2,2,0309,1.780
2,2,0400,1.452
2,2,0401,1.409
2,2,0402,1.492
2,2,0403,1.059
2,2,0404,0.277
2,2,0405,0.083
2,2,0406,0.699
2,2,0407,1.065
2,2,0408,0.684
2,2,0409,1.705
2,2,0500,0.098
2,2,0501,0.067
2,2,0502,1.848
2,2,0503,0.175
2,2,0504,0.535
2,2,0505,1.484
2,2,0506,1.804
2,2,0507,0.834
2,2,0508,1.504
2,2,0509,1.136
2,2,0600,0.707
2,2,0601,0.642
2,2,0602,0.751
2,2,0603,0.591
2,2,0604,1.280
2,2,0605,0.666
2,2,0606,1.046
2,2,0607,1.658
2,2,0608,0.709
2,2,0609,1.718
2,2,0700,1.942
2,2,0701,1.295
2,2,0702,0.745
2,2,0703,1.203
2,2,0704,1.584
2,2,0705,1.555
2,2,0706,0.500
2,2,0707,0.529
2,2,0708,0.593
2,2,0709,1.294
2,2,0800,1.213
2,2,0801,0.958
2,2,0802,0.631
2,2,0803,1.217
2,2,0804,0.899
2,2,0805,1.791
2,2,0806,0.015
2,2,0807,1.170
2,2,0808,0.711
2,2,0809,0.016
2,2,0900,1.592
2,2,0901,1.931
2,2,0902,1.216
2,2,0903,0.019
2,2,0904,1.344
2,2,0905,0.481
2,2,0906,1.716
2,2,0907,1.057
2,2,0908,1.098
2,2,0909,0.280
3,3,0000,0.579
3,3,0001,1.088
3,3,0002,0.190
3,3,0003,1.066
3,3,0004,1.671
3,3,0005,1.907
3,3,0006,0.944
3,3,0007,1.190
3,3,0008,0.993
3,3,0009,0.130
3,3,0100,1.475
3,3,0101,1.028
3,3,0102,0.737
3,3,0103,1.948
3,3,0104,1.700
3,3,0105,1.285
3,3,0106,0.584
3,3,0107,1.074
3,3,0108,1.694
3,3,0109,0.706
3,3,0200,1.323
3,3,0201,0.549
3,3,0202,1.969
3,3,0203,0.779
3,3,0204,0.201
3,3,0205,0.778
3,3,0206,0.051
3,3,0207,0.994
3,3,0208,1.516
3,3,0209,0.626
3,3,0300,1.982
3,3,0301,0.802
3,3,0302,1.480
3,3,0303,0.533
3,3,0304,0.554
3,3,0305,1.890
3,3,0306,1.790
3,3,0307,1.960
3,3,0308,1.756
3,3,0309,1.526
3,3,0400,0.147
3,3,0401,1.546
3,3,0402,1.726
3,3,0403,0.231
3,3,0404,0.748
3,3,0405,1.454
3,3,0406,0.315
3,3,0407,0.725
3,3,0408,0.789
3,3,0409,0.187
3,3,0500,1.271
3,3,0501,0.464
3,3,0502,1.350
3,3,0503,0.221
3,3,0504,1.310
3,3,0505,1.525
3,3,0506,1.595
3,3,0507,0.556
3,3,0508,0.416
3,3,0509,1.671
3,3,0600,1.238
3,3,0601,1.370
3,3,0602,1.833
3,3,0603,0.564
3,3,0604,1.448
3,3,0605,0.167
3,3,0606,0.553
3,3,0607,1.219
3,3,0608,0.931
3,3,0609,0.447
3,3,0700,0.540
3,3,0701,0.484
3,3,0702,0.795
3,3,0703,1.531
3,3,0704,1.211
3,3,0705,0.049
